exposure,exposure.type,exposure.id,outcome,mr1_estimate,mr1_cilower,mr1_ciupper,mr1_se,mr1_pval,mr2_estimate,mr2_cilower,mr2_ciupper,mr2_se,mr2_pval,meta.estimate,meta.se,meta.cilower,meta.ciupper,meta.p,meta.I2,meta.hetero.p
"Major dietary changes in the last 5 years: Yes, because of illness",Diet,ukb-d-1538_1,CAD,2.544815228,1.679886788,3.409743669,0.44129813,8.09E-09,2.421935296,1.335802998,3.508067593,0.554159314,1.24E-05,2.497130115,0.345211746,1.820527525,3.173732704,4.70E-13,0,0.862289721
"Never eat eggs, dairy, wheat, sugar: Sugar or foods/drinks containing sugar",Diet,ukb-b-5495,CAD,0.687929327,0.1724988,1.203359854,0.262979591,0.008899161,0.782584497,0.244603661,1.320565332,0.274485062,0.00435682,0.733231563,0.189891867,0.361050343,1.105412782,0.00011278,0,0.803356083
Milk type used: Skimmed,Diet,ukb-d-1418_3,CAD,0.542293179,-0.087304975,1.171891333,0.32122945,0.091376654,0.836414225,0.162730555,1.510097895,0.343722474,0.014957772,0.679415975,0.234692769,0.2194266,1.13940535,0.003792594,0,0.531855335
"Never eat eggs, dairy, wheat, sugar: I eat all of the above",Diet,ukb-b-2393,CAD,-0.70752288,-1.207400931,-0.20764483,0.255044508,0.005535205,-0.757678195,-1.257582147,-0.257774243,0.255057723,0.002972045,-0.732599238,0.180348373,-1.086075555,-0.379122922,4.86E-05,0,0.889409692
Cereal type: Muesli,Diet,ukb-d-1468_4,CAD,-0.734637208,-1.154975673,-0.314298742,0.214462342,0.000613706,-0.890278317,-1.389469024,-0.391087611,0.254693816,0.000473202,-0.799208524,0.164049934,-1.120740486,-0.477676561,1.11E-06,0,0.640181213
Bread type: Wholemeal or wholegrain,Diet,ukb-d-1448_3,CAD,-0.46166734,-0.762453636,-0.160881043,0.153465216,0.002627253,-0.489543899,-0.835494606,-0.143593193,0.176508706,0.005545973,-0.473668328,0.115812397,-0.700656455,-0.246680201,4.31E-05,0,0.905129542
Bread type: Other type of bread,Diet,ukb-d-1448_4,CAD,-2.374177273,-4.170175976,-0.57817857,0.916342707,0.009571773,-1.667455625,-3.716302326,0.381391076,1.045349158,0.110685773,-2.067092348,0.689074891,-3.417654317,-0.716530379,0.002701499,0,0.61118108
"ECG, number of stages in a phase",ECG during exercise,ukb-b-15268,CAD,-0.268435218,-0.496534387,-0.040336048,0.116379266,0.021079621,-0.319115536,-0.501983639,-0.136247434,0.093301767,0.000625632,-0.299286496,0.072795878,-0.441963795,-0.156609198,3.93E-05,0,0.734032327
Length of mobile phone use,Electronic device use,ukb-b-4094,CAD,0.192317817,0.081420499,0.303215135,0.056581304,0.000676416,0.156305796,0.044579844,0.268031748,0.057004084,0.006106439,0.174445846,0.040157665,0.09573827,0.253153423,1.40E-05,0,0.653885837
Hand grip strength (left),Hand grip strength,ukb-b-7478,CAD,-0.324534989,-0.488645332,-0.160424646,0.083731306,0.000106227,-0.277218904,-0.465280442,-0.089157365,0.095951528,0.003862777,-0.304080095,0.063087904,-0.427730115,-0.180430076,1.44E-06,0,0.71022927
Hand grip strength (right),Hand grip strength,ukb-b-10215,CAD,-0.192677012,-0.374649364,-0.010704659,0.092844743,0.037962414,-0.269236977,-0.467730333,-0.070743622,0.101273981,0.007848912,-0.22763878,0.068437433,-0.361773683,-0.093503876,0.000880286,0,0.577365255
Volume level set by participant (right),Hearing test,ukb-b-5143,CAD,0.003937783,-0.004408535,0.012284102,0.004258404,0.355117421,0.008381322,0.000837393,0.015925251,0.003849014,0.029441469,0.006383362,0.002855458,0.000786766,0.011979957,0.025384891,0,0.438859725
Usual walking pace,Physical activity,ukb-b-4711,CAD,-0.951189932,-1.169215394,-0.733164469,0.111239525,1.22E-17,-0.916348684,-1.169372945,-0.663324423,0.129096383,1.26E-12,-0.936343786,0.084270212,-1.101510366,-0.771177205,1.11E-28,0,0.837999114
Duration of strenuous sports,Physical activity,ukb-b-1046,CAD,-0.165485478,-0.287796419,-0.043174538,0.062404688,0.008006119,-0.124134824,-0.292200793,0.043931145,0.085749519,0.147716485,-0.151167966,0.050457332,-0.25006252,-0.052273412,0.002735856,0,0.69660749
Duration of vigorous activity,Physical activity,ukb-b-13932,CAD,0.322785877,0.109627414,0.535944339,0.108756316,0.002997701,0.267035639,0.001800801,0.532270478,0.135326384,0.048464686,0.30090848,0.08477288,0.134756689,0.467060272,0.00038584,0,0.748119825
Duration of walks,Physical activity,ukb-b-16998,CAD,0.197128822,0.016248355,0.378009288,0.092287648,0.03267729,0.159338048,-0.019981234,0.33865733,0.091491111,0.081583956,0.178069644,0.064973772,0.05072339,0.305415898,0.006131987,0,0.771200707
Frequency of stair climbing in last 4 weeks,Physical activity,ukb-b-298,CAD,-0.159186292,-0.300461487,-0.017911096,0.072080506,0.027212825,-0.130562313,-0.315370198,0.054245573,0.09429147,0.16615423,-0.148628742,0.057264963,-0.260866006,-0.036391477,0.009446525,0,0.80942101
Duration walking for pleasure,Physical activity,ukb-b-703,CAD,-0.169345121,-0.316006358,-0.022683884,0.074828537,0.023628983,-0.153468781,-0.30224728,-0.004690282,0.075908792,0.04320194,-0.161520723,0.053289588,-0.265966396,-0.057075049,0.002437455,0,0.881595008
Time spent driving,Physical activity,ukb-b-3793,CAD,0.186681135,-0.025708926,0.399071197,0.108364267,0.084939431,0.314236085,0.063739261,0.564732909,0.127806851,0.013944904,0.240028447,0.082653595,0.078030379,0.402026516,0.003683939,0,0.446516632
"Types of physical activity in last 4 weeks: Heavy DIY (eg: weeding, lawn mowing, carpentry, digging)",Physical activity,ukb-b-13184,CAD,-0.590087467,-0.969937727,-0.210237207,0.193804714,0.002328715,-0.655690583,-1.057049446,-0.254331721,0.204778693,0.00136502,-0.621084179,0.140760352,-0.896969398,-0.345198959,1.02E-05,0,0.816011292
Types of physical activity in last 4 weeks: None of the above,Physical activity,ukb-b-15869,CAD,1.927827529,0.814312779,3.041342279,0.56813021,0.000690598,1.455835445,0.212199994,2.699470897,0.634519543,0.021768093,1.717807496,0.423260759,0.888231654,2.547383339,4.94E-05,0,0.579456549
"Types of physical activity in last 4 weeks: Other exercises (eg: swimming, cycling, keep fit, bowling)",Physical activity,ukb-b-8764,CAD,-0.788501876,-1.171488143,-0.405515608,0.195404747,5.46E-05,-0.60523762,-1.012865403,-0.197609836,0.207977181,0.003612952,-0.702576105,0.142409355,-0.981693312,-0.423458898,8.08E-07,0,0.520747952
Types of physical activity in last 4 weeks: Walking for pleasure (not as a means of transport),Physical activity,ukb-b-7337,CAD,-0.715405503,-1.178190386,-0.25262062,0.236119075,0.002446748,-0.670829212,-1.123068512,-0.218589912,0.230738577,0.003645485,-0.692603688,0.165026223,-1.01604914,-0.369158235,2.71E-05,0,0.892594217
"Types of physical activity in last 4 weeks: Light DIY (eg: pruning, watering the lawn)",Physical activity,ukb-b-11495,CAD,-0.366899453,-0.704856573,-0.028942334,0.17243027,0.033352551,-0.187545098,-0.557903515,0.182813319,0.188961848,0.320952482,-0.285409558,0.12737085,-0.535051836,-0.035767279,0.025040581,0,0.483226136
Types of physical activity in last 4 weeks: Strenuous sports,Physical activity,ukb-b-7663,CAD,-1.428103611,-2.170070397,-0.686136825,0.378561439,0.000161653,-1.180247273,-2.055394911,-0.305099635,0.446512102,0.008211212,-1.32445065,0.288751384,-1.890392964,-0.758508336,4.50E-06,0,0.672000854
Types of transport used (excluding work): Cycle,Physical activity,ukb-b-17557,CAD,-0.792738335,-1.684888767,0.099412096,0.455187156,0.081584468,-0.946713207,-1.8286291,-0.064797313,0.449965357,0.035381142,-0.870614018,0.320003764,-1.497809871,-0.243418166,0.006515631,0,0.809890812
Types of transport used (excluding work): Walk,Physical activity,ukb-b-14926,CAD,-0.548422809,-0.900697488,-0.196148131,0.179735282,0.002278674,-0.440208673,-0.838977549,-0.041439796,0.203457247,0.030491825,-0.500989284,0.134701945,-0.765000245,-0.236978322,0.000199821,0,0.690178443
Sleeplessness / insomnia,Sleep,ukb-b-3957,CAD,0.506697145,0.322041115,0.691353174,0.094213991,7.53E-08,0.509644427,0.28924802,0.730040833,0.112449213,5.84E-06,0.507912737,0.072217021,0.366369976,0.649455498,2.02E-12,0,0.983971225
Nap during day,Sleep,ukb-b-4616,CAD,0.319678325,0.139098994,0.500257656,0.092134005,0.00052102,0.219587461,0.032923453,0.406251469,0.095238489,0.021129704,0.271290795,0.066218906,0.141504123,0.401077466,4.19E-05,0,0.450043426
Daytime dozing / sleeping (narcolepsy),Sleep,ukb-b-5776,CAD,0.49210738,0.208561217,0.775653544,0.144669068,0.000669908,0.487253236,0.165901465,0.808605008,0.163957998,0.002960427,0.489982508,0.108478263,0.277369019,0.702595997,6.28E-06,0,0.982288657
Getting up in morning,Sleep,ukb-b-2772,CAD,-0.164732399,-0.327750787,-0.00171401,0.083174176,0.047639352,-0.087880594,-0.239712522,0.063951334,0.077466693,0.256613931,-0.123579436,0.05668766,-0.234685209,-0.012473663,0.029257022,0,0.498949337
Sleep duration,Sleep,ukb-b-4424,CAD,-0.121992029,-0.281379708,0.037395651,0.081321739,0.133584398,-0.20587948,-0.371810546,-0.039948413,0.084660263,0.015022702,-0.162249144,0.058647896,-0.277196908,-0.047301379,0.005666236,0,0.47485609
Pack years of smoking,Smoking,ukb-b-10831,CAD,0.167701241,0.034592001,0.300810481,0.067914125,0.013537271,0.265597358,0.124021221,0.407173495,0.07223405,0.000236086,0.213634616,0.049479284,0.116657,0.310612231,1.58E-05,0,0.323453629
Exposure to tobacco smoke at home,Smoking,ukb-b-4462,CAD,0.495477744,-0.200493416,1.191448904,0.355093851,0.16291241,1.065901492,0.192958516,1.938844468,0.445387253,0.016702061,0.717154828,0.277651091,0.172968689,1.261340967,0.009796367,0.002832978,0.316624038
Past tobacco smoking,Smoking,ukb-b-2134,CAD,-0.158149714,-0.246821933,-0.069477494,0.04524176,0.000472895,-0.164513011,-0.25700123,-0.072024791,0.047188734,0.000489793,-0.161197384,0.03265737,-0.225204654,-0.097190114,7.97E-07,0,0.922457413
Exposure to tobacco smoke outside home,Smoking,ukb-b-6244,CAD,0.498259498,0.177788491,0.818730505,0.16350862,0.002309086,0.535473776,0.179693356,0.891254196,0.181523958,0.00317898,0.514928835,0.121489378,0.276814028,0.753043641,2.25E-05,0,0.878930023
Number of cigarettes previously smoked daily,Smoking,ukb-b-6019,CAD,0.163616493,0.016200383,0.311032603,0.075213683,0.029603493,0.055219862,-0.09789815,0.208337875,0.07812287,0.47966995,0.111474,0.054183393,0.0052765,0.217671499,0.039652934,0,0.317525646
Current tobacco smoking,Smoking,ukb-b-223,CAD,0.653686655,0.362973649,0.944399662,0.148325688,1.05E-05,0.799684126,0.508998245,1.090370007,0.148311848,6.97E-08,0.726692202,0.104877206,0.521136655,0.932247749,4.24E-12,0,0.486403754
Ever smoked,Smoking,ukb-b-20261,CAD,0.231231482,0.004407851,0.458055113,0.115728469,0.045711038,0.341917923,0.091965919,0.591869927,0.127528876,0.007338015,0.281217912,0.085701294,0.113246462,0.449189362,0.00103303,0,0.520394998
Leisure/social activities: Religious group,Social support,ukb-b-4667,CAD,-0.296251636,-0.685155007,0.092651736,0.198423733,0.135430589,-0.519476978,-0.976412303,-0.062541654,0.233134551,0.025865302,-0.390025394,0.151103858,-0.686183514,-0.093867274,0.009846486,0,0.465907948
Leisure/social activities: Sports club or gym,Social support,ukb-b-4000,CAD,-0.34967444,-0.746416662,0.047067781,0.20242322,0.084088253,-0.436187394,-0.864581749,-0.007793038,0.218572565,0.045975494,-0.389617167,0.148516236,-0.680703642,-0.098530693,0.008705756,0,0.771508973
"Forced vital capacity (FVC), Best measure",Spirometry,ukb-b-14713,CAD,-0.324285591,-0.460632884,-0.187938297,0.069566224,3.14E-06,-0.221389288,-0.372048695,-0.070729881,0.076868457,0.003975418,-0.277955824,0.051579644,-0.379050067,-0.17686158,7.09E-08,0,0.320952567
Forced vital capacity (FVC),Spirometry,ukb-b-7953,CAD,-0.310692675,-0.434544072,-0.186841278,0.063190649,8.80E-07,-0.228070901,-0.357814003,-0.0983278,0.066196676,0.000570315,-0.271300286,0.045708302,-0.360886911,-0.18171366,2.93E-09,0,0.366622066
Forced expiratory volume in 1-second (FEV1),Spirometry,ukb-b-19657,CAD,-0.198220675,-0.341770724,-0.054670627,0.073241167,0.006801488,-0.168177179,-0.321212628,-0.01514173,0.078080745,0.031248958,-0.184158797,0.05341834,-0.288856819,-0.079460775,0.000565837,0,0.778990456
